moordemo - Sheet1
kind,capacity,lat,lng
Staple or Inverted-U,2,39.9488105,-75.158898
Staple or Inverted-U,2,39.9488541,-75.158982
Staple or Inverted-U,2,39.9488769,-75.158883
Staple or Inverted-U,2,39.9490514,-75.158938
Staple or Inverted-U,2,39.9492001,-75.158811
Staple or Inverted-U,2,39.9490994,-75.158834
Staple or Inverted-U,2,39.9487631,-75.159248
Staple or Inverted-U,2,39.9488023,-75.160126
Converted Parking Meter,2,39.9488149,-75.160237
Converted Parking Meter,2,39.9488301,-75.160351
Converted Parking Meter,2,39.9490711,-75.160554
Converted Parking Meter,2,39.9492126,-75.160524
Staple or Inverted-U,2,39.949497,-75.160457
Staple or Inverted-U,2,39.9489478,-75.160753
Converted Parking Meter,2,39.9488965,-75.160881
Converted Parking Meter,2,39.9489146,-75.161028
Staple or Inverted-U,2,39.948933,-75.161175
Staple or Inverted-U,2,39.9485636,-75.16132
Converted Parking Meter,2,39.9489737,-75.161501
Staple or Inverted-U,2,39.9490498,-75.161536
Converted Parking Meter,2,39.9490032,-75.161736
Staple or Inverted-U,2,39.9490225,-75.161877
Converted Parking Meter,2,39.9561833,-75.15415
Converted Parking Meter,2,39.9560351,-75.154182
Converted Parking Meter,2,39.9563057,-75.154032
Converted Parking Meter,2,39.9556147,-75.154273
Converted Parking Meter,2,39.9555416,-75.1542
Converted Parking Meter,2,39.955397,-75.154321
Converted Parking Meter,2,39.9545617,-75.156453
Converted Parking Meter,2,39.9546324,-75.157028
Converted Parking Meter,2,39.9543973,-75.155609
Converted Parking Meter,2,39.9543186,-75.154977
Converted Parking Meter,2,39.9530617,-75.143115
Converted Parking Meter,2,39.9529592,-75.143136
Staple or Inverted-U,2,39.9531528,-75.143002
Staple or Inverted-U,2,39.9531656,-75.143094
Converted Parking Meter,2,39.9526868,-75.143195
Converted Parking Meter,2,39.9522859,-75.143281
Converted Parking Meter,2,39.9521646,-75.143306
Staple or Inverted-U,2,39.9515545,-75.143347
Converted Parking Meter,2,39.9514803,-75.14345
Staple or Inverted-U,2,39.9514002,-75.143468
Converted Parking Meter,2,39.9513505,-75.143478
Converted Parking Meter,2,39.9508183,-75.1436
Staple or Inverted-U,2,39.9506796,-75.143531
Staple or Inverted-U,2,39.950234,-75.143631
Staple or Inverted-U,2,39.9486089,-75.144085
Staple or Inverted-U,2,39.9485977,-75.143994
Converted Parking Meter,2,39.9488231,-75.144038
Staple or Inverted-U,2,39.9491664,-75.143959
Converted Parking Meter,2,39.9493051,-75.143932
Staple or Inverted-U,2,39.949428,-75.143904
Converted Parking Meter,2,39.9494956,-75.143888
Converted Parking Meter,2,39.9495882,-75.143867
Staple or Inverted-U,2,39.9500341,-75.148905
Staple or Inverted-U,2,39.9500299,-75.148865
Staple or Inverted-U,2,39.9496374,-75.148918
Staple or Inverted-U,2,39.9496441,-75.148973
Staple or Inverted-U,2,39.948963,-75.148233
Converted Parking Meter,2,39.9490023,-75.148558
Converted Parking Meter,2,39.9493237,-75.151146
